country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Swaziland,SWZ,2000,3,1,2,1,0,7,1063832,0.17,5839
Sweden,SWE,2000,0,0,0,0,0,0,8860153,0,36855
Switzerland,CHE,2000,0,0,0,0,0,0,7167908,0,50776
Syria,SYR,2000,0,0,1,0,0,1,15988534,0,
Taiwan,TWN,2000,0,0,0,0,0,0,22183000,0,
Tajikistan,TJK,2000,20,0,3,1,1,25,6172807,0.65,1180
Tanzania,TZA,2000,23673,2510,4335,3068,1167,34753,34038161,21.49,1482
Thailand,THA,2000,28,37,265,54,33,417,63155029,0.45,9189
Timor,TLS,2000,1,0,1,0,0,2,,2.63,3308
Togo,TGO,2000,3457,452,689,456,208,5262,4793504,37.54,1277
Tonga,TON,2000,0,0,0,0,0,0,97935,0,4602
Trinidad and Tobago,TTO,2000,0,0,0,0,0,0,1292058,0,18324
Tropical Latin America,,2000,39,19,63,18,10,149,,0.25,
Tunisia,TUN,2000,0,0,0,0,0,0,9456117,0,7574
Turkey,TUR,2000,0,0,4,2,1,7,63627862,0.09,13862
Turkmenistan,TKM,2000,0,0,0,0,0,0,4501419,0,5333
Uganda,UGA,2000,41733,4256,6162,3748,1260,57159,24213120,35.65,1050
Ukraine,UKR,2000,0,0,0,0,0,0,48891792,0,4797
United Arab Emirates,ARE,2000,0,0,0,0,0,0,3033491,0,102635
United Kingdom,GBR,2000,0,0,0,0,0,0,58874117,0,33266
United States,USA,2000,0,0,0,0,0,0,282496310,0,45986
United States Virgin Islands,VIR,2000,0,0,0,0,0,0,,0,
Uruguay,URY,2000,0,0,0,0,0,0,3319066,0,12875
Uzbekistan,UZB,2000,0,0,3,1,1,5,24775610,0.02,2504
Vanuatu,VUT,2000,0,0,0,0,0,0,185074,5.53,2823
Venezuela,VEN,2000,4,2,13,4,2,25,24348304,0.36,14413
Vietnam,VNM,2000,77,40,499,215,204,1035,78758010,0.38,2562
Wales,,2000,0,0,0,0,0,0,,0,
Western Europe,,2000,0,0,7,6,0,13,,0,
Western Sub-Saharan Africa,,2000,284639,26520,39652,28077,15539,394427,,29.46,
World,OWID_WRL,2000,567847,80142,108688,65654,29467,851798,,2.84,10346
Yemen,YEM,2000,0,0,5,0,0,5,,3.23,3894
Zambia,ZMB,2000,4156,582,1011,565,169,6483,10201562,16.95,2103
Zimbabwe,ZWE,2000,440,248,146,24,13,871,12509477,7.05,2583
