,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
4386,Palestine,PSE,2008,0,0,0,0,0,0,3612.0,,0.0
4414,Panama,PAN,2008,0,0,0,0,0,0,15113.0,3406487.0,0.16
4442,Papua New Guinea,PNG,2008,676,106,32,384,134,19,2842.0,6549268.0,6.01
4470,Paraguay,PRY,2008,1,0,0,0,0,0,6892.0,6230242.0,0.03
4498,Peru,PER,2008,7,1,0,3,1,2,9323.0,28463338.0,0.36
4526,Philippines,PHL,2008,129,11,10,70,26,13,5309.0,90173139.0,0.14
4554,Poland,POL,2008,0,0,0,0,0,0,20392.0,38218462.0,0.0
4582,Portugal,PRT,2008,0,0,0,0,0,0,27590.0,10634612.0,0.0
4610,Puerto Rico,PRI,2008,0,0,0,0,0,0,34380.0,3758981.0,0.0
4638,Qatar,QAT,2008,0,0,0,0,0,0,119723.0,1396060.0,0.0
4666,Romania,ROU,2008,0,0,0,0,0,0,18924.0,21589544.0,0.0
4694,Russia,RUS,2008,0,0,0,0,0,0,24006.0,143163100.0,0.0
4722,Rwanda,RWA,2008,1774,732,131,502,309,100,1264.0,10004092.0,1.49
4750,Saint Lucia,LCA,2008,0,0,0,0,0,0,12422.0,170624.0,0.0
4778,Saint Vincent and the Grenadines,VCT,2008,0,0,0,0,0,0,10494.0,109178.0,0.0
4806,Samoa,WSM,2008,0,0,0,0,0,0,5728.0,181809.0,0.0
4834,Sao Tome and Principe,STP,2008,1,0,0,0,0,0,2532.0,159852.0,2.15
4862,Saudi Arabia,SAU,2008,15,1,0,11,2,2,46679.0,26166639.0,0.0
4890,Scotland,,2008,0,0,0,0,0,0,,,0.0
4918,Senegal,SEN,2008,5169,2298,349,1135,903,484,2166.0,11787123.0,4.79
4946,Serbia,SRB,2008,0,0,0,0,0,0,12916.0,9841360.0,0.0
4974,Seychelles,SYC,2008,0,0,0,0,0,0,20064.0,85568.0,0.0
5002,Sierra Leone,SLE,2008,16782,12345,1192,1626,1005,614,1156.0,5612129.0,40.97
5030,Singapore,SGP,2008,0,0,0,0,0,0,66046.0,4772216.0,0.0
5058,Slovakia,SVK,2008,0,0,0,0,0,0,25382.0,5441304.0,0.0
5086,Slovenia,SVN,2008,0,0,0,0,0,0,31138.0,2018172.0,0.0
5114,Solomon Islands,SLB,2008,3,0,0,1,1,1,1924.0,510221.0,6.69
5142,Somalia,SOM,2008,1560,783,142,417,181,37,,8922260.0,2.53
5170,South Africa,ZAF,2008,123,10,12,77,18,6,11990.0,49319363.0,0.01
5198,South Asia,,2008,74332,35259,18908,10498,5861,3805,3670.0,,0.82
5226,South Korea,KOR,2008,3,0,0,1,1,1,28588.0,47733951.0,0.05
5254,South Sudan,SSD,2008,4721,3006,396,791,413,115,,8473315.0,13.73
5282,Southeast Asia,,2008,16838,2304,1081,8351,3236,1866,,,0.43
5310,"Southeast Asia, East Asia, and Oceania",,2008,17710,2419,1118,8844,3407,1922,,,0.2
5338,Southern Latin America,,2008,4,0,0,2,1,1,,,0.0
5366,Southern Sub-Saharan Africa,,2008,1020,482,202,255,57,23,,,0.84
5394,Spain,ESP,2008,0,0,0,0,0,0,34164.0,45146258.0,0.0
5422,Sri Lanka,LKA,2008,19,1,0,8,5,5,7723.0,20473799.0,0.07
5450,Sub-Saharan Africa,,2008,778184,531126,55794,98070,64063,29132,3122.0,,18.63
5478,Sudan,SDN,2008,2400,1012,206,912,188,83,3318.0,32941836.0,2.17
5506,Suriname,SUR,2008,4,1,0,2,1,0,13397.0,515066.0,1.07
5534,Swaziland,SWZ,2008,6,3,1,2,1,0,7184.0,1150344.0,0.04
5562,Sweden,SWE,2008,0,0,0,0,0,0,43466.0,9236872.0,0.0
5590,Switzerland,CHE,2008,0,0,0,0,0,0,56756.0,7573204.0,0.0
5618,Syria,SYR,2008,0,0,0,0,0,0,,19694259.0,0.0
5646,Taiwan,TWN,2008,0,0,0,0,0,0,,22921000.0,0.0
5674,Tajikistan,TJK,2008,14,12,0,1,1,1,1992.0,6691416.0,0.38
5702,Tanzania,TZA,2008,15855,10066,1013,2552,1570,653,1987.0,42267667.0,10.75
5730,Thailand,THA,2008,63,4,4,34,11,10,12757.0,68267982.0,0.24
5758,Timor,TLS,2008,3,1,0,1,0,0,9822.0,,5.52
5786,Togo,TGO,2008,7583,4446,573,1249,897,419,1185.0,5776837.0,32.25
5814,Tonga,TON,2008,0,0,0,0,0,0,4756.0,102910.0,0.0
5842,Trinidad and Tobago,TTO,2008,0,0,0,0,0,0,31951.0,1331040.0,0.0
5870,Tropical Latin America,,2008,82,10,8,41,13,9,,,0.16
5898,Tunisia,TUN,2008,0,0,0,0,0,0,10003.0,10247325.0,0.0
5926,Turkey,TUR,2008,0,0,0,0,0,0,17837.0,70923730.0,0.01
5954,Turkmenistan,TKM,2008,0,0,0,0,0,0,8845.0,4918396.0,0.0
5982,Uganda,UGA,2008,42386,30501,3149,5112,2627,998,1439.0,31339392.0,27.4
6010,Ukraine,UKR,2008,0,0,0,0,0,0,8740.0,45991584.0,0.0
6038,United Arab Emirates,ARE,2008,0,0,0,0,0,0,71315.0,6206623.0,0.0
