country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Trinidad and Tobago,TTO,2000,0,0,0,0,0,0,1292058.0,0.0,18324.0
Tropical Latin America,,2000,39,19,63,18,10,149,,0.25,
Tunisia,TUN,2000,0,0,0,0,0,0,9456117.0,0.0,7574.0
Turkey,TUR,2000,0,0,4,2,1,7,63627862.0,0.09,13862.0
Turkmenistan,TKM,2000,0,0,0,0,0,0,4501419.0,0.0,5333.0
Uganda,UGA,2000,41733,4256,6162,3748,1260,57159,24213120.0,35.65,1050.0
Ukraine,UKR,2000,0,0,0,0,0,0,48891792.0,0.0,4797.0
United Arab Emirates,ARE,2000,0,0,0,0,0,0,3033491.0,0.0,102635.0
United Kingdom,GBR,2000,0,0,0,0,0,0,58874117.0,0.0,33266.0
United States,USA,2000,0,0,0,0,0,0,282496310.0,0.0,45986.0
United States Virgin Islands,VIR,2000,0,0,0,0,0,0,,0.0,
Uruguay,URY,2000,0,0,0,0,0,0,3319066.0,0.0,12875.0
Uzbekistan,UZB,2000,0,0,3,1,1,5,24775610.0,0.02,2504.0
Vanuatu,VUT,2000,0,0,0,0,0,0,185074.0,5.53,2823.0
Venezuela,VEN,2000,4,2,13,4,2,25,24348304.0,0.36,14413.0
Vietnam,VNM,2000,77,40,499,215,204,1035,78758010.0,0.38,2562.0
Wales,,2000,0,0,0,0,0,0,,0.0,
Western Europe,,2000,0,0,7,6,0,13,,0.0,
Western Sub-Saharan Africa,,2000,284639,26520,39652,28077,15539,394427,,29.46,
World,OWID_WRL,2000,567847,80142,108688,65654,29467,851798,,2.84,10346.0
Yemen,YEM,2000,0,0,5,0,0,5,,3.23,3894.0
Zambia,ZMB,2000,4156,582,1011,565,169,6483,10201562.0,16.95,2103.0
Zimbabwe,ZWE,2000,440,248,146,24,13,871,12509477.0,7.05,2583.0
Afghanistan,AFG,2008,219,67,747,53,35,1121,29839994.0,0.81,1298.0
Albania,ALB,2008,0,0,0,0,0,0,3181397.0,0.0,9154.0
Algeria,DZA,2008,0,0,5,1,1,7,34428028.0,0.01,12660.0
American Samoa,ASM,2008,0,0,0,0,0,0,66217.0,0.0,
Andean Latin America,,2008,3,2,10,4,4,23,,0.31,
Andorra,AND,2008,0,0,0,0,0,0,82577.0,0.0,
Angola,AGO,2008,7503,894,1727,1014,286,11424,18037964.0,10.13,5978.0
Antigua and Barbuda,ATG,2008,0,0,0,0,0,0,86881.0,0.0,24111.0
Argentina,ARG,2008,0,0,2,1,1,4,39714298.0,0.01,18437.0
Armenia,ARM,2008,0,0,0,0,0,0,3079087.0,0.0,7558.0
Australasia,,2008,0,0,0,0,0,0,,0.0,
Australia,AUS,2008,0,0,0,0,0,0,21513817.0,0.0,41332.0
Austria,AUT,2008,0,0,0,0,0,0,8341806.0,0.0,44442.0
Azerbaijan,AZE,2008,0,0,1,0,0,1,8943600.0,0.03,14365.0
Bahamas,BHS,2008,0,0,0,0,0,0,333661.0,0.0,31080.0
Bahrain,BHR,2008,0,0,0,0,0,0,1052359.0,0.0,42218.0
Bangladesh,BGD,2008,2,1490,1771,574,547,4384,145478300.0,0.29,2252.0
Barbados,BRB,2008,0,0,0,0,0,0,272180.0,0.0,17189.0
Belarus,BLR,2008,0,0,0,0,0,0,9680690.0,0.0,14972.0
Belgium,BEL,2008,0,0,0,0,0,0,10602167.0,0.0,41619.0
Belize,BLZ,2008,0,0,0,0,0,0,299237.0,0.35,7951.0
Benin,BEN,2008,7412,938,1423,966,575,11314,8355980.0,30.38,1841.0
Bermuda,BMU,2008,0,0,0,0,0,0,64657.0,0.0,60676.0
Bhutan,BTN,2008,19,7,4,2,1,33,701363.0,0.4,5592.0
Bolivia,BOL,2008,1,1,2,1,1,6,9618466.0,0.38,5191.0
Bosnia and Herzegovina,BIH,2008,0,0,0,0,0,0,3774164.0,0.0,9824.0
Botswana,BWA,2008,2,1,3,1,0,7,1954822.0,0.05,13768.0
Brazil,BRA,2008,10,8,41,13,9,81,191543237.0,0.16,13803.0
Brunei,BRN,2008,0,0,0,0,0,0,384695.0,0.0,81906.0
Bulgaria,BGR,2008,0,0,0,0,0,0,7591322.0,0.0,15442.0
Burkina Faso,BFA,2008,26659,2611,3487,2834,1513,37104,15515258.0,45.97,1394.0
Burundi,BDI,2008,5087,714,1610,951,260,8622,7943385.0,12.46,759.0
Cambodia,KHM,2008,313,136,716,261,79,1505,13822644.0,0.74,2452.0
Cameroon,CMR,2008,15898,2336,4182,2851,1468,26735,18758778.0,24.51,2928.0
Canada,CAN,2008,0,0,0,0,0,0,33327954.0,0.0,41611.0
Cape Verde,CPV,2008,2,0,0,0,0,2,487371.0,0.07,5944.0
Caribbean,,2008,3,2,20,5,2,32,,0.33,
Central African Republic,CAF,2008,3962,492,867,447,100,5868,4237961.0,40.55,861.0
Central Asia,,2008,12,0,4,2,2,20,,0.05,
