country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Hungary,HUN,2008,0,0,0,0,0,0,10021886,0,23734
Iceland,ISL,2008,0,0,0,0,0,0,310666,0,43335
India,IND,2008,33345,14673,7768,4789,2885,63460,1190863679,0.85,3787
Indonesia,IDN,2008,771,319,4122,1386,1069,7667,234951154,0.44,7793
Iran,IRN,2008,1,0,7,1,2,11,72289291,0.06,17187
Iraq,IRQ,2008,0,0,0,0,0,0,29821136,0,12217
Ireland,IRL,2008,0,0,0,0,0,0,4352866,0,46063
Israel,ISR,2008,0,0,0,0,0,0,7092324,0,29082
Italy,ITA,2008,0,0,0,0,2,2,59891479,0,37954
Jamaica,JAM,2008,0,0,0,0,0,0,2720282,0,8565
Japan,JPN,2008,0,0,0,0,0,0,126544640,0,36278
Jordan,JOR,2008,0,0,0,0,0,0,5848952,0,9715
Kazakhstan,KAZ,2008,0,0,0,0,0,0,15655345,0,19272
Kenya,KEN,2008,3504,655,2246,1362,491,8258,38455418,5.58,2335
Kiribati,KIR,2008,0,0,0,0,0,0,96532,0,1830
Kuwait,KWT,2008,0,0,0,0,0,0,2548351,0,93698
Kyrgyzstan,KGZ,2008,0,0,0,0,0,0,5204104,0.02,2791
Laos,LAO,2008,4,1,8,2,1,16,6022001,0.5,3732
Latin America and Caribbean,,2008,37,26,132,41,31,267,,0.2,0
Latvia,LVA,2008,0,0,0,0,0,0,2271198,0,21384
Lebanon,LBN,2008,0,0,0,0,0,0,4166915,0,14598
Lesotho,LSO,2008,0,0,0,0,0,0,2127412,0,2228
Liberia,LBR,2008,3236,364,744,504,282,5130,3658460,23.68,675
Libya,LBY,2008,0,0,0,0,0,0,6149620,0,28984
Lithuania,LTU,2008,0,0,0,0,0,0,3359799,0,23568
Low SDI,,2008,322068,41238,64450,39969,16833,484558,,8.41,0
Low-middle SDI,,2008,243278,32637,48511,31032,16225,371683,,4.96,0
Luxembourg,LUX,2008,0,0,0,0,0,0,486781,0,94900
Macedonia,MKD,2008,0,0,0,0,0,0,2052524,0,11044
Madagascar,MDG,2008,4338,695,2215,1270,303,8821,19546282,7.87,1523
Malawi,MWI,2008,6715,829,2094,1297,539,11474,14005113,23.24,948
Malaysia,MYS,2008,1,0,5,3,2,11,27502008,0.17,20687
Maldives,MDV,2008,0,0,0,0,0,0,307632,0,12745
Mali,MLI,2008,21708,1702,1811,1381,707,27309,14459990,27.55,1809
Malta,MLT,2008,0,0,0,0,0,0,413946,0,28438
Marshall Islands,MHL,2008,0,0,0,0,0,0,52880,0,3336
Mauritania,MRT,2008,118,21,61,60,37,297,3295254,2.22,3389
Mauritius,MUS,2008,0,0,0,0,0,0,1283849,0,14855
Mexico,MEX,2008,0,0,6,2,2,10,110627158,0.02,16293
Micronesia (country),FSM,2008,0,0,0,0,0,0,,0,3168
Middle SDI,,2008,4524,2158,5821,2497,1878,16878,,0.28,0
Moldova,MDA,2008,0,0,0,0,0,0,3635059,0,3876
Mongolia,MNG,2008,0,0,0,0,0,0,2667474,0,7576
Montenegro,MNE,2008,0,0,0,0,0,0,629185,0,14559
Morocco,MAR,2008,0,0,0,0,0,0,31321453,0,6107
Mozambique,MOZ,2008,13558,2005,3979,2592,869,23003,22332900,26.58,858
Myanmar,MMR,2008,1114,577,2729,1253,366,6039,47250315,1.69,3112
Namibia,NAM,2008,3,1,3,1,0,8,2200422,0.42,8208
Nepal,NPL,2008,530,254,112,68,45,1009,28905358,0.35,1850
Netherlands,NLD,2008,0,0,0,0,0,0,16503263,0,47134
New Zealand,NZL,2008,0,0,0,0,0,0,4277809,0,31881
Nicaragua,NIC,2008,0,0,1,0,0,1,5635577,0.14,4092
Niger,NER,2008,22591,2321,2632,2005,885,30434,14450007,25.06,816
Nigeria,NGA,2008,182209,15686,20975,14455,7861,241186,150665730,28.38,4711
North Africa and Middle East,,2008,1233,275,1687,246,123,3564,,0.28,0
North America,,2008,0,0,0,0,0,0,,0,49521
North Korea,PRK,2008,0,0,2,1,1,4,24126329,0.23,0
Northern Ireland,,2008,0,0,0,0,0,0,,0,0
Northern Mariana Islands,MNP,2008,0,0,0,0,0,0,62707,0,0
Norway,NOR,2008,0,0,0,0,0,0,4778959,0,64586
Oceania,,2008,113,34,409,144,21,721,,4.91,0
